epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26086,1.36142,3.10308,1.73864,0.00332,1,0.10629,0.08991,0.50312,3.55915,1.14441,0.000277833,0.000277833,0.000277833
2,1.60721,0.95645,2.97583,1.45123,0.00332,1,0.09835,0.08256,0.50312,3.55915,1.14441,0.000825248,0.000825248,0.000825248
3,1.93175,1.03103,2.94225,1.51576,0.00332,1,0.09835,0.08256,0.50312,3.55915,1.14441,0.00136166,0.00136166,0.00136166
4,2.22163,1.25654,3.08109,1.76138,0.0033,1,0.15762,0.1217,0.50443,3.5632,1.13914,0.00161749,0.00161749,0.00161749
5,2.53344,1.16713,3.05261,1.63429,0.0033,1,0.15762,0.1217,0.50443,3.5632,1.13914,0.00160099,0.00160099,0.00160099
6,2.83694,1.10229,3.00026,1.57975,0.0033,1,0.15762,0.1217,0.50443,3.5632,1.13914,0.00158448,0.00158448,0.00158448
7,3.1217,0.94585,2.87708,1.37295,0.0033,1,0.15762,0.1217,0.50443,3.5632,1.13914,0.00156798,0.00156798,0.00156798
8,3.43181,0.915,3.02991,1.49218,0.0033,1,0.15525,0.12251,0.47691,3.58458,1.13437,0.00155148,0.00155148,0.00155148
9,3.74857,1.09351,3.06153,1.50189,0.0033,1,0.15525,0.12251,0.47691,3.58458,1.13437,0.00153497,0.00153497,0.00153497
10,4.05415,1.24564,3.05408,1.63994,0.0033,1,0.15525,0.12251,0.47691,3.58458,1.13437,0.00151847,0.00151847,0.00151847
11,4.3538,0.97211,3.07827,1.51669,0.0033,1,0.15089,0.12816,0.52734,3.55154,1.17241,0.00150197,0.00150197,0.00150197
12,4.65461,0.9011,2.91436,1.38222,0.0033,1,0.15089,0.12816,0.52734,3.55154,1.17241,0.00148546,0.00148546,0.00148546
13,4.95695,1.11005,3.06752,1.49891,0.0033,1,0.15089,0.12816,0.52734,3.55154,1.17241,0.00146896,0.00146896,0.00146896
14,5.25437,1.21681,3.15662,1.75149,0.0033,1,0.15089,0.12816,0.52734,3.55154,1.17241,0.00145246,0.00145246,0.00145246
15,5.55317,0.98544,3.07917,1.43831,0.00331,1,0.15559,0.13324,0.51695,3.5749,1.19231,0.00143595,0.00143595,0.00143595
16,5.84321,0.90835,3.13532,1.4396,0.00331,1,0.15559,0.13324,0.51695,3.5749,1.19231,0.00141945,0.00141945,0.00141945
17,6.15176,1.02794,2.9558,1.49643,0.00331,1,0.15559,0.13324,0.51695,3.5749,1.19231,0.00140295,0.00140295,0.00140295
18,6.44533,1.04288,3.17613,1.61497,0.00346,1,0.44494,0.14538,1.6408,4.01162,2.56799,0.00138644,0.00138644,0.00138644
19,6.75546,1.49225,2.89926,1.82621,0.00346,1,0.44494,0.14538,1.6408,4.01162,2.56799,0.00136994,0.00136994,0.00136994
20,7.10572,1.7092,2.95034,2.13779,0.00346,1,0.44494,0.14538,1.6408,4.01162,2.56799,0.00135344,0.00135344,0.00135344
21,7.40507,1.64283,2.89348,1.90656,0.00346,1,0.44494,0.14538,1.6408,4.01162,2.56799,0.00133693,0.00133693,0.00133693
22,7.70907,1.39977,2.6969,1.74091,0.00331,1,0.02557,0.01105,1.66972,4.40993,2.84123,0.00132043,0.00132043,0.00132043
23,8.00718,1.38974,2.81834,1.79144,0.00331,1,0.02557,0.01105,1.66972,4.40993,2.84123,0.00130393,0.00130393,0.00130393
24,8.28831,1.35984,2.67875,1.92562,0.00331,1,0.02557,0.01105,1.66972,4.40993,2.84123,0.00128742,0.00128742,0.00128742
25,8.55994,1.39548,2.62081,1.71058,0.00333,1,0.10565,0.0325,2.01596,4.34378,3.06107,0.00127092,0.00127092,0.00127092
26,8.81952,1.37961,2.49287,1.74657,0.00333,1,0.10565,0.0325,2.01596,4.34378,3.06107,0.00125442,0.00125442,0.00125442
27,9.08556,1.20446,2.65529,1.66549,0.00333,1,0.10565,0.0325,2.01596,4.34378,3.06107,0.00123791,0.00123791,0.00123791
28,9.3714,1.0191,2.3203,1.41331,0.00333,1,0.10565,0.0325,2.01596,4.34378,3.06107,0.00122141,0.00122141,0.00122141
29,9.64306,1.06083,2.31508,1.52363,0.87167,0.25,0.35441,0.18109,1.56553,8.02258,2.72543,0.00120491,0.00120491,0.00120491
30,9.92899,0.96321,1.99025,1.36851,0.87167,0.25,0.35441,0.18109,1.56553,8.02258,2.72543,0.0011884,0.0011884,0.0011884
