epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.912178,0.81409,3.67909,1.37388,0.00335,1,0.18102,0.14254,0.56479,3.71534,1.21852,0.000444533,0.000444533,0.000444533
2,1.28911,0.83968,3.68172,1.25649,0.00335,1,0.18089,0.14118,0.56479,3.71534,1.21852,0.000993599,0.000993599,0.000993599
3,1.58379,0.94914,3.81186,1.49963,0.00335,1,0.18089,0.14118,0.56479,3.71534,1.21852,0.00153533,0.00153533,0.00153533
4,1.87215,0.82812,3.76213,1.35867,0.00334,1,0.18877,0.17185,0.58224,3.7679,1.23097,0.00163399,0.00163399,0.00163399
5,2.1769,0.79932,3.78918,1.442,0.00334,1,0.18877,0.17185,0.58224,3.7679,1.23097,0.00162299,0.00162299,0.00162299
6,2.49864,0.86015,3.66282,1.39216,0.00334,1,0.18877,0.17185,0.58224,3.7679,1.23097,0.00161199,0.00161199,0.00161199
7,2.81309,0.96214,3.73446,1.49303,0.00334,1,0.2077,0.19043,0.62405,3.77806,1.28321,0.00160099,0.00160099,0.00160099
8,3.1342,0.84506,3.70581,1.37943,0.00334,1,0.2077,0.19043,0.62405,3.77806,1.28321,0.00158998,0.00158998,0.00158998
9,3.47032,0.84281,3.6938,1.42676,0.00334,1,0.2077,0.19043,0.62405,3.77806,1.28321,0.00157898,0.00157898,0.00157898
10,3.78763,0.85806,3.65235,1.42794,0.00333,1,0.19162,0.17577,0.64753,3.76112,1.31081,0.00156798,0.00156798,0.00156798
11,4.11401,0.85414,3.68815,1.41267,0.00333,1,0.19162,0.17577,0.64753,3.76112,1.31081,0.00155698,0.00155698,0.00155698
12,4.44257,0.84938,3.67355,1.44653,0.00333,1,0.19162,0.17577,0.64753,3.76112,1.31081,0.00154598,0.00154598,0.00154598
13,4.77517,0.74594,3.69907,1.32902,0.00333,1,0.1868,0.16896,0.66181,3.74766,1.32282,0.00153497,0.00153497,0.00153497
14,5.10114,0.85823,3.66019,1.43383,0.00333,1,0.1868,0.16896,0.66181,3.74766,1.32282,0.00152397,0.00152397,0.00152397
15,5.39745,0.86093,3.646,1.42027,0.00333,1,0.1868,0.16896,0.66181,3.74766,1.32282,0.00151297,0.00151297,0.00151297
16,5.68653,0.91959,3.71176,1.49086,0.00333,1,0.17732,0.15597,0.69249,3.76233,1.33863,0.00150197,0.00150197,0.00150197
17,5.97854,0.94585,3.6923,1.57028,0.00333,1,0.17732,0.15597,0.69249,3.76233,1.33863,0.00149096,0.00149096,0.00149096
18,6.27095,0.79577,3.66545,1.40843,0.00333,1,0.17732,0.15597,0.69249,3.76233,1.33863,0.00147996,0.00147996,0.00147996
19,6.6039,1.58186,3.66271,2.31352,0.28968,0.33333,0.17588,0.06545,2.32029,4.54966,5.50799,0.00146896,0.00146896,0.00146896
20,6.92593,1.77751,3.77851,2.47542,0.28968,0.33333,0.17588,0.06545,2.32029,4.54966,5.50799,0.00145796,0.00145796,0.00145796
21,7.24203,1.70321,3.74529,2.45277,0.28968,0.33333,0.17588,0.06545,2.32029,4.54966,5.50799,0.00144696,0.00144696,0.00144696
22,7.55709,2.03216,4.04113,2.58806,0.5506,0.30176,0.068,0.02238,2.87506,5.95444,4.11134,0.00143595,0.00143595,0.00143595
23,7.85602,1.91203,3.71902,2.49927,0.5506,0.30176,0.068,0.02238,2.87506,5.95444,4.11134,0.00142495,0.00142495,0.00142495
24,8.16802,1.87379,3.83076,2.57498,0.5506,0.30176,0.068,0.02238,2.87506,5.95444,4.11134,0.00141395,0.00141395,0.00141395
25,8.47418,1.42879,3.17634,1.99606,0.56656,0.33333,0.43751,0.18424,1.73719,7.14209,3.06239,0.00140295,0.00140295,0.00140295
26,8.7758,1.32582,3.12241,1.98015,0.56656,0.33333,0.43751,0.18424,1.73719,7.14209,3.06239,0.00139195,0.00139195,0.00139195
27,9.07419,1.3991,3.27552,1.99913,0.56656,0.33333,0.43751,0.18424,1.73719,7.14209,3.06239,0.00138094,0.00138094,0.00138094
28,9.37057,1.1057,3.02502,1.73011,0.22166,1,0.52593,0.20435,1.67693,24.7592,3.64384,0.00136994,0.00136994,0.00136994
29,9.68615,1.03815,2.97405,1.60201,0.22166,1,0.52593,0.20435,1.67693,24.7592,3.64384,0.00135894,0.00135894,0.00135894
30,10.0068,1.20231,3.24822,1.86074,0.22166,1,0.52593,0.20435,1.67693,24.7592,3.64384,0.00134794,0.00134794,0.00134794
31,10.3201,1.01575,2.84076,1.70385,0.29616,0.8368,0.58305,0.37305,1.30761,12.881,2.63579,0.00133693,0.00133693,0.00133693
32,10.6294,1.02637,2.86848,1.65697,0.29616,0.8368,0.58305,0.37305,1.30761,12.881,2.63579,0.00132593,0.00132593,0.00132593
33,10.9354,1.05448,2.67724,1.65194,0.29616,0.8368,0.58305,0.37305,1.30761,12.881,2.63579,0.00131493,0.00131493,0.00131493
34,11.2337,0.90174,2.59645,1.54607,0.37638,0.66667,0.61927,0.36855,1.31416,13.0294,3.57817,0.00130393,0.00130393,0.00130393
35,11.5235,1.05797,2.98296,1.61287,0.37638,0.66667,0.61927,0.36855,1.31416,13.0294,3.57817,0.00129293,0.00129293,0.00129293
36,11.8273,1.08521,2.66044,1.68404,0.37638,0.66667,0.61927,0.36855,1.31416,13.0294,3.57817,0.00128192,0.00128192,0.00128192
37,12.1382,0.87059,2.63449,1.46427,0.48436,1,0.84375,0.55631,1.30083,5.63547,2.39189,0.00127092,0.00127092,0.00127092
38,12.4521,0.87474,2.38514,1.46086,0.48436,1,0.84375,0.55631,1.30083,5.63547,2.39189,0.00125992,0.00125992,0.00125992
39,12.7743,0.92051,2.38023,1.43403,0.48436,1,0.84375,0.55631,1.30083,5.63547,2.39189,0.00124892,0.00124892,0.00124892
